,Name,IP,HRM,ERA
726,Mike Soroka,174.2,14.466130884041332,2.68
526,Charlie Morton,194.2,15.13903192584964,3.05
670,Hyun Jin Ryu,182.2,15.581778265642152,2.32
688,Max Scherzer,172.1,16.62986635676932,2.92
184,Jacob deGrom,204.0,16.67156862745098,2.43
302,Sonny Gray,175.1,16.79611650485437,2.87
550,Jake Odorizzi,159.0,17.71069182389937,3.51
306,Zack Greinke,208.2,18.55907780979827,2.93
110,Walker Buehler,182.1,18.67105985722131,3.26
399,Brad Keller,165.1,18.988491823137494,4.19
343,Kyle Hendricks,177.0,19.429378531073446,3.46
455,Kenta Maeda,153.2,20.535248041775457,4.04
246,Jack Flaherty,196.1,21.03518612952575,2.75
750,Marcus Stroman,184.1,21.80336773492667,3.22
157,Gerrit Cole,212.1,22.013201320132012,2.5
746,Stephen Strasburg,209.0,22.16267942583732,3.32
287,Lucas Giolito,176.2,22.338251986379117,3.41
132,Luis Castillo,190.2,22.555205047318612,3.4
491,John Means,155.0,22.703225806451613,3.6
531,Joe Musgrove,170.1,22.962962962962965,4.44
799,Justin Verlander,223.0,23.08520179372197,2.58
128,Andrew Cashner,150.0,23.18,4.68
301,Jon Gray,150.0,23.30666666666667,3.84
173,Zach Davies,159.2,23.366834170854272,3.55
453,Lance Lynn,208.1,23.512734262373858,3.67
27,Brett Anderson,176.2,23.836549375709424,3.87
407,Clayton Kershaw,178.1,24.83997754070747,3.03
448,Joey Lucchesi,163.2,24.94485294117647,4.18
50,Homer Bailey,163.1,24.978540772532188,4.57
681,Anibal Sanchez,166.0,25.048192771084338,3.85
824,Zack Wheeler,196.0,25.142857142857142,3.95
611,Jose Quintana,171.0,25.380116959064328,4.68
259,Max Fried,165.2,25.423728813559325,4.02
163,Patrick Corbin,202.0,25.544554455445546,3.25
568,James Paxton,150.2,26.031957390146474,3.82
769,Julio Teheran,174.2,26.394948335246845,3.81
763,Noah Syndergaard,197.2,26.65314401622718,4.28
678,Jeff Samardzija,181.1,26.747653230259527,3.52
293,Marco Gonzales,203.0,27.532019704433498,3.99
13,Sandy Alcantara,197.1,27.65601217656012,3.88
502,Wade Miley,167.1,27.80371035308199,3.98
79,Shane Bieber,214.1,28.234469873890706,3.28
369,Dakota Hudson,174.2,28.289322617680828,3.35
73,Jose Berrios,200.1,28.45577211394303,3.68
808,Adam Wainwright,171.2,28.65654205607477,4.19
501,Miles Mikolas,184.0,29.054347826086957,4.16
643,Eduardo Rodriguez,203.1,29.069423929098967,3.81
111,Madison Bumgarner,207.2,29.53667953667954,3.9
187,Anthony DeSclafani,166.2,29.837545126353792,3.89
282,Kyle Gibson,160.0,29.9,4.84
772,Trent Thornton,154.1,29.90266060999351,4.84
464,German Marquez,174.0,30.0,4.76
172,Yu Darvish,178.2,30.185185185185187,3.98
765,Masahiro Tanaka,182.0,30.46153846153846,4.45
541,Aaron Nola,202.1,30.593765462642256,3.87
244,Mike Fiers,184.2,30.781758957654723,3.9
476,Steven Matz,160.1,31.7051842598376,4.21
582,Martin Perez,165.1,31.762568140520898,5.12
510,Mike Minor,208.1,32.86881307063911,3.59
219,Zach Eflin,163.1,32.96137339055794,4.13
716,Caleb Smith,153.1,33.40953625081646,4.52
405,Merrill Kelly,183.1,33.577280174767886,4.42
113,Dylan Bundy,161.2,34.18114143920596,4.79
635,Tanner Roark,165.1,34.42761962447002,4.35
433,Jon Lester,171.2,35.08177570093458,4.46
621,Robbie Ray,174.1,35.15221137277427,4.34
327,J.A. Happ,161.1,36.93358162631906,4.91
66,Trevor Bauer,213.0,37.032863849765256,4.48
601,Rick Porcello,174.1,37.74842044801838,5.52
392,Jakob Junis,175.1,38.772130211307825,5.24
544,Ivan Nova,187.0,38.8235294117647,4.72
93,Matthew Boyd,185.1,39.82171799027553,4.56
441,Reynaldo Lopez,184.0,44.32065217391305,5.38
429,Mike Leake,197.0,44.32994923857868,4.29
409,Yusei Kikuchi,161.2,46.67493796526055,5.46
