,Name,IP,HRM
158,Nathan Eovaldi,55.1,1.1796733212341197
77,Corbin Burnes,46.1,1.2147505422993492
627,Brandon Woodruff,64.0,1.96875
62,Matthew Boyd,52.2,2.10727969348659
204,Kyle Gibson,60.1,2.8951747088186357
478,Trevor Rogers,56.2,3.0427046263345194
202,Kevin Gausman,64.2,3.177570093457944
347,Carlos Martinez,47.1,3.184713375796178
333,Lance Lynn,47.2,3.559322033898305
437,Nick Pivetta,47.2,3.559322033898305
113,Gerrit Cole,64.2,3.6604361370716507
93,Dylan Cease,45.1,3.7250554323725056
431,Martin Perez,45.2,3.783185840707964
125,Yu Darvish,61.2,4.084967320261438
426,Freddy Peralta,49.2,4.268292682926829
582,Jose Urena,48.2,4.2946058091286305
608,Zack Wheeler,68.0,4.338235294117647
395,Joe Musgrove,55.2,4.3478260869565215
324,Pablo Lopez,56.0,4.428571428571429
20,Ian Anderson,51.0,4.470588235294118
292,Clayton Kershaw,64.1,4.867394695787832
175,Jack Flaherty,57.0,4.912280701754386
583,Julio Urias,62.1,4.959742351046699
39,Chris Bassitt,61.0,5.081967213114754
40,Trevor Bauer,63.2,5.189873417721519
359,Lance McCullers Jr.,51.2,5.37109375
366,John Means,65.1,5.529953917050692
490,Hyun Jin Ryu,53.1,5.536723163841808
303,Corey Kluber,53.1,5.555555555555555
463,Garrett Richards,54.0,5.703703703703703
388,Jordan Montgomery,48.2,5.726141078838174
550,Marcus Stroman,52.2,5.862068965517241
135,Anthony DeSclafani,56.0,5.892857142857143
293,Dallas Keuchel,54.2,5.99630996309963
71,Walker Buehler,58.1,6.058519793459553
385,Casey Mize,52.2,6.091954022988506
254,Rich Hill,52.0,6.1923076923076925
275,Cristian Javier,48.2,6.244813278008299
49,Jose Berrios,56.1,6.310160427807486
8,Sandy Alcantara,65.0,6.461538461538462
220,Jon Gray,57.2,6.503496503496503
127,Zach Davies,45.1,6.563192904656319
394,Charlie Morton,52.0,6.576923076923077
73,Madison Bumgarner,53.2,6.7105263157894735
271,Cole Irvin,57.1,6.935201401050788
504,Max Scherzer,63.1,6.9730586370839935
103,Aaron Civale,68.0,7.0588235294117645
405,Aaron Nola,59.1,7.106598984771574
213,Austin Gomber,53.1,7.382297551789077
211,Tyler Glasnow,62.0,7.403225806451613
154,Zach Eflin,63.1,7.432646592709984
342,German Marquez,52.1,7.485604606525912
336,Tyler Mahle,50.1,7.684630738522954
438,Zach Plesac,58.2,7.886597938144329
509,Antonio Senzatela,46.2,8.05194805194805
337,Sean Manaea,54.0,8.296296296296296
223,Zack Greinke,65.2,8.343558282208589
351,Steven Matz,54.2,8.394833948339484
633,Ryan Yarbrough,52.2,8.582375478927203
22,Tyler Anderson,51.1,8.610567514677104
382,Mike Minor,49.0,8.653061224489797
472,Eduardo Rodriguez,48.0,8.75
238,Matt Harvey,45.2,8.761061946902654
29,Jake Arrieta,47.1,9.00212314225053
295,Yusei Kikuchi,56.0,9.107142857142858
55,Shane Bieber,65.0,9.107692307692307
209,Lucas Giolito,55.2,9.130434782608695
594,Adam Wainwright,54.2,9.29889298892989
285,Brad Keller,45.2,9.690265486725663
290,Merrill Kelly,51.2,9.84375
459,Robbie Ray,47.1,9.936305732484076
75,Dylan Bundy,45.2,10.353982300884955
69,JT Brubaker,49.1,10.386965376782078
515,Matt Shoemaker,46.0,11.956521739130435
181,Mike Foltynewicz,55.2,12.554347826086955
89,Luis Castillo,47.1,13.078556263269638
331,Jordan Lyles,50.0,13.4
116,Patrick Corbin,47.0,13.404255319148936
386,Frankie Montas,53.0,13.49056603773585
244,Kyle Hendricks,49.1,14.114052953156822
