,Name,IP,HRM
365,Brad Keller,54.2,1.9926199261992619
99,Corbin Burnes,59.2,1.9932432432432432
224,Max Fried,56.0,2.107142857142857
374,Dallas Keuchel,63.1,2.1236133122028527
626,Justus Sheffield,55.1,2.540834845735027
696,Spencer Turnbull,56.2,2.6334519572953736
730,Zack Wheeler,71.0,3.380281690140845
398,Dinelson Lamet,69.0,3.9130434782608696
157,Yu Darvish,76.0,4.473684210526316
415,Pablo Lopez,57.1,4.483362521891419
272,Sonny Gray,56.0,4.571428571428571
96,Dylan Bundy,65.2,4.831288343558282
545,Zach Plesac,55.1,5.226860254083484
703,Framber Valdez,70.2,5.27065527065527
699,Julio Urias,55.0,5.2727272727272725
451,Lance McCullers Jr.,55.0,5.363636363636363
64,Shane Bieber,77.1,5.447470817120623
755,Ryan Yarbrough,55.2,5.525362318840579
428,Kenta Maeda,66.2,5.574018126888217
373,Clayton Kershaw,58.1,5.645438898450947
113,Luis Castillo,70.0,5.785714285714286
166,Jacob deGrom,68.0,5.970588235294118
723,Logan Webb,54.1,5.98890942698706
50,Trevor Bauer,73.0,6.041095890410959
275,Zack Greinke,67.0,6.268656716417911
601,Hyun Jin Ryu,67.0,6.358208955223881
49,Chris Bassitt,63.0,6.380952380952381
25,Tyler Anderson,59.2,6.587837837837838
261,Marco Gonzales,69.2,6.705202312138728
552,Rick Porcello,59.0,7.11864406779661
436,German Marquez,81.2,7.167487684729064
254,Lucas Giolito,72.1,7.434119278779473
431,Sean Manaea,54.0,7.518518518518518
573,Garrett Richards,52.0,7.673076923076923
245,Kevin Gausman,59.2,7.837837837837838
747,Brandon Woodruff,73.2,7.868852459016393
719,Taijuan Walker,53.1,8.135593220338983
716,Adam Wainwright,65.2,8.282208588957054
445,Dustin May,56.0,8.357142857142858
631,Brady Singer,64.1,8.361934477379096
160,Zach Davies,69.2,8.453757225433526
503,Aaron Nola,71.1,8.607594936708862
107,Carlos Carrasco,68.0,8.705882352941176
349,Cristian Javier,54.1,8.743068391866913
311,Kyle Hendricks,81.1,8.75462392108508
231,Zac Gallen,72.0,8.875
189,Zach Eflin,59.2,9.054054054054054
135,Alex Cobb,52.1,9.520153550863723
59,Jose Berrios,63.0,9.523809523809524
535,Martin Perez,62.0,9.67741935483871
106,Griffin Canning,56.1,9.83957219251337
620,Antonio Senzatela,73.1,9.84952120383037
305,Andrew Heaney,66.2,9.924471299093655
424,Jesus Luzardo,59.0,10.067796610169491
256,Tyler Glasnow,57.1,10.402802101576182
91,Kris Bubic,50.0,10.56
138,Gerrit Cole,73.0,10.73972602739726
335,Adrian Houser,56.0,10.857142857142858
209,Mike Fiers,59.0,10.983050847457626
153,Johnny Cueto,63.1,11.125198098256735
476,Mike Minor,56.2,11.548042704626335
184,Danny Duffy,56.1,11.58645276292335
222,Kyle Freeland,70.2,11.666666666666666
426,Lance Lynn,84.0,11.761904761904763
203,Erick Fedde,50.1,11.776447105788423
473,Alec Mills,62.1,12.351046698872786
613,Max Scherzer,67.1,12.369597615499256
404,Jon Lester,61.0,12.62295081967213
128,Aaron Civale,74.0,12.932432432432432
480,Frankie Montas,53.0,13.20754716981132
721,Luke Weaver,52.0,13.653846153846153
515,Chris Paddack,59.0,13.76271186440678
142,Patrick Corbin,65.2,14.263803680981594
116,Dylan Cease,58.1,14.87091222030981
605,Anibal Sanchez,53.0,15.981132075471699
250,Kyle Gibson,67.1,16.274217585693
425,Jordan Lyles,57.2,16.363636363636363
74,Matthew Boyd,60.1,18.469217970049915
738,Trevor Williams,55.1,19.600725952813068
567,Robbie Ray,51.2,21.58203125
